macrorep,simulator,budget,comparison,delta_max_pairwise_score_ks,delta_mean_pairwise_score_ks,delta_bin_mean_score_range
4,raised_floor_gauss,250,plugin_sd_nw_minus_oracle,0.32999999999999996,0.15333333333333335,0.08430961256539056
4,raised_floor_gauss,250,plugin_sd_nw_minus_fixed,0.0,0.01866666666666672,-0.03927235968737547
4,raised_floor_gauss,250,oracle_minus_fixed,-0.32999999999999996,-0.13466666666666663,-0.12358197225276603
4,raised_floor_gauss,500,plugin_sd_nw_minus_oracle,0.27999999999999997,0.12799999999999997,0.07815419299086208
4,raised_floor_gauss,500,plugin_sd_nw_minus_fixed,-0.010000000000000009,0.01933333333333337,-0.03752696783499854
4,raised_floor_gauss,500,oracle_minus_fixed,-0.29,-0.1086666666666666,-0.11568116082586062
4,raised_floor_gauss,1000,plugin_sd_nw_minus_oracle,0.14,0.07755555555555557,0.04120842539855882
4,raised_floor_gauss,1000,plugin_sd_nw_minus_fixed,-0.040000000000000036,-0.008444444444444393,-0.039326613694660895
4,raised_floor_gauss,1000,oracle_minus_fixed,-0.18000000000000005,-0.08599999999999997,-0.08053503909321971
4,raised_floor_t3,100,plugin_sd_nw_minus_oracle,0.43999999999999995,0.19711111111111115,0.12297748580371833
4,raised_floor_t3,100,plugin_sd_nw_minus_fixed,0.15999999999999992,0.07800000000000012,0.02070076828371828
4,raised_floor_t3,100,oracle_minus_fixed,-0.28,-0.11911111111111103,-0.10227671752000005
4,raised_floor_t3,250,plugin_sd_nw_minus_oracle,0.12,0.09644444444444447,0.05201041325899686
4,raised_floor_t3,250,plugin_sd_nw_minus_fixed,-0.08999999999999997,-0.05111111111111116,-0.07234756929784558
4,raised_floor_t3,250,oracle_minus_fixed,-0.20999999999999996,-0.14755555555555563,-0.12435798255684244
4,raised_floor_t3,500,plugin_sd_nw_minus_oracle,0.18,0.07422222222222222,0.05724514028484161
4,raised_floor_t3,500,plugin_sd_nw_minus_fixed,-0.17000000000000004,-0.07777777777777772,-0.09031414790714598
4,raised_floor_t3,500,oracle_minus_fixed,-0.35000000000000003,-0.15199999999999994,-0.1475592881919876
4,raised_floor_t3,1000,plugin_sd_nw_minus_oracle,0.020000000000000018,0.028666666666666646,0.013215098282645124
4,raised_floor_t3,1000,plugin_sd_nw_minus_fixed,-0.20999999999999996,-0.09977777777777777,-0.1053828574394502
4,raised_floor_t3,1000,oracle_minus_fixed,-0.22999999999999998,-0.12844444444444442,-0.11859795572209532
5,mm1_sojourn,100,plugin_sd_nw_minus_oracle,0.2,0.07244444444444445,0.05043880173271542
5,mm1_sojourn,100,plugin_sd_nw_minus_fixed,0.030000000000000027,-0.0028888888888888575,-0.030765484637791357
5,mm1_sojourn,100,oracle_minus_fixed,-0.16999999999999998,-0.07533333333333331,-0.08120428637050678
5,mm1_sojourn,250,plugin_sd_nw_minus_oracle,-0.04999999999999999,-0.02555555555555558,-0.008915315294406492
5,mm1_sojourn,250,plugin_sd_nw_minus_fixed,-0.030000000000000027,-0.004888888888888915,-0.05549225435344149
5,mm1_sojourn,250,oracle_minus_fixed,0.019999999999999962,0.020666666666666667,-0.046576939059035
5,mm1_sojourn,500,plugin_sd_nw_minus_oracle,0.09999999999999998,0.03599999999999999,0.02079193634707624
5,mm1_sojourn,500,plugin_sd_nw_minus_fixed,0.09999999999999998,0.032000000000000015,-0.00409830778903314
5,mm1_sojourn,500,oracle_minus_fixed,0.0,-0.003999999999999976,-0.02489024413610938
5,mm1_sojourn,1000,plugin_sd_nw_minus_oracle,0.04000000000000001,0.012444444444444452,0.023290629718390757
5,mm1_sojourn,1000,plugin_sd_nw_minus_fixed,0.08000000000000002,0.02644444444444445,0.018159285835740516
5,mm1_sojourn,1000,oracle_minus_fixed,0.04000000000000001,0.013999999999999999,-0.005131343882650241
5,raised_floor_gauss,100,plugin_sd_nw_minus_oracle,0.44000000000000006,0.19577777777777777,0.12583642805433345
5,raised_floor_gauss,100,plugin_sd_nw_minus_fixed,0.010000000000000009,0.026666666666666616,-0.023329099331824504
5,raised_floor_gauss,100,oracle_minus_fixed,-0.43000000000000005,-0.16911111111111116,-0.14916552738615796
